#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6969.594264304037    All      1.6079074405333886         -0.4739943949488179       0.6506083413675645         -0.6491102582133063        
Zeropoint     AB|PS|PS_z                8009.764438255053    All      0.16036319183543163        -0.044103700930087086     0.19787245849787194        -0.05777145470726719       
Zeropoint     AB|PS|PS_g                4531.116041848744    All      -0.6743589161740804        0.839186817695392         0.7972600227679427         0.5285896928301892         
Zeropoint     AB|PS|PS_r                5754.209774181315    All      -0.07836557510277153       0.6862342062722959        -1.5498082441742111        0.17989447945381126        
Check         All|All|All               All                  All      1.0155461410919682         1.007322928088783         0.09593257845916803        0.0016024593634270112      
Lambda        AB|PS|PS_i                6969.594264304037    All      -0.001226640182227531      0.00016683264081846787    -0.002116910307289357      0.00035943195796330846     
Lambda        AB|PS|PS_z                8009.764438255053    All      -2.1899664876112027e-05    1.2157839882964343e-05    3.079534718053185e-05      1.2467904665410175e-05     
Lambda        AB|PS|PS_g                4531.116041848744    All      -0.00016370801459708177    0.00012058124070249154    -0.00022861645106493522    8.240026107611636e-05      
Lambda        AB|PS|PS_r                5754.209774181315    All      -3.612981540178813e-05     -7.394309524982946e-05    -0.0004263548395067994     -3.1343287576701264e-05    
MWEBV         All|All|All               All                  All      -0.6122337307794021        -3.7957955907657492       0.11199655450362389        -1.0319929420258471        
Redshift      All|All|All               All                  All      8.354140926741302          -1.1163220453255462       4.884844300453484          -2.866853193128574         
