#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3915.2883491239613    All      -1.0120655065304422        0.5827333629886411        0.2495867575359273        0.5306163698050507        
Zeropoint     AB|SDSS|SDSS_i            6204.179305450526     All      1.1286541564838404         0.05139762399828385       0.33382075724522065       -0.3360010061051992       
Zeropoint     AB|SDSS|SDSS_r            5116.111422881095     All      0.7705872100881828         0.35970466755426145       -0.6939102886458853       -0.1648039909050188       
Zeropoint     AB|SDSS|SDSS_z            7376.2520221529685    All      0.11114840934954501        0.0047729509413230176     0.1127629587004686        -0.029617893506924363     
Check         All|All|All               All                   All      0.9983242693911261         0.9986086054825094        0.002260184835731205      0.0001934792879083394     
Lambda        AB|SDSS|SDSS_g            3915.2883491239613    All      -0.0009334995285031785     0.0003842421900692931     -0.001436514196730634     0.00036512679922487775    
Lambda        AB|SDSS|SDSS_i            6204.179305450526     All      -0.00024627892156762533    -2.073203641481476e-05    -0.0001748006681715552    6.566748977632167e-05     
Lambda        AB|SDSS|SDSS_r            5116.111422881095     All      -3.21287242338073e-05      2.1433716933579614e-06    -0.0010808305365894492    -3.706895361094113e-05    
Lambda        AB|SDSS|SDSS_z            7376.2520221529685    All      -2.2502089252864643e-05    -3.557694069712722e-07    -2.145673066068857e-05    6.256269623901967e-06     
MWEBV         All|All|All               All                   All      -0.5762566487119569        -3.1940133656245706       0.09959804679517403       -0.8482448809451709       
Redshift      All|All|All               All                   All      5.0446190696386894         0.47665322562924217       -1.91704333960849         -1.5734855965914694       
