#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3915.2883491239613    All      -1.0452862937443435        0.581908990149671          0.09891939294672117        0.5344453552859008        
Zeropoint     AB|SDSS|SDSS_i            6204.179305450526     All      1.1326963829741497         0.06439620120577416        0.4092021250822868         -0.3297197037889584       
Zeropoint     AB|SDSS|SDSS_r            5116.111422881095     All      0.8069259624678767         0.34779885206717154        -0.6089154117108166        -0.17672590286810655      
Zeropoint     AB|SDSS|SDSS_z            7376.2520221529685    All      0.10405527151086835        0.004754696971609462       0.10497784111394765        -0.02766078511617201      
Check         All|All|All               All                   All      0.9983913232085513         0.9988587403942262         0.004183947432138957       0.00033896351266382574    
Lambda        AB|SDSS|SDSS_g            3915.2883491239613    All      -0.0009352950458000048     0.0004084904819270689      -0.0012130929816444498     0.000383580387375174      
Lambda        AB|SDSS|SDSS_i            6204.179305450526     All      -0.00021767962314271159    -2.1794875867732036e-05    -0.00020642958782423297    5.4594102196436365e-05    
Lambda        AB|SDSS|SDSS_r            5116.111422881095     All      -4.025665403789851e-06     1.1931517169325146e-05     -0.0010223459838649294     -4.042482645484702e-05    
Lambda        AB|SDSS|SDSS_z            7376.2520221529685    All      -2.147731977221918e-05     -7.51191170047527e-07      -1.8630365333179334e-05    5.919794316458008e-06     
MWEBV         All|All|All               All                   All      -0.5769400326185021        -3.1945190366728937        0.08871366983181413        -0.8486727137744082       
Redshift      All|All|All               All                   All      4.810541841070504          0.37306760213375867        -2.990005148963375         -1.5788615453891621       
