#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6091.812224865688     All      1.2468898531331032         -0.10691937458560119      0.018038068534258236       -0.4401752483158016       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7392.270685147986     All      0.44915635969227763        -0.0929103033277201       0.15083261459440947        -0.16983797876891324      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5378.72187881619      All      0.6521444663411478         0.23642555018348332       0.06288796314043321        -0.1326069267776629       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4621.2423637496995    All      -0.7814433805325725        0.6175991355446442        -0.19943754335645325       0.4468141930414927        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4292.0430032799695    All      -0.5681867233106064        0.3431997669023801        -0.031036004788860195      0.2954835692367794        
Check         All|All|All                      All                   All      0.9985605753233496         0.9973947747171863        0.0012850981237874752      -0.0003223915841056857    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6091.812224865688     All      -0.00021443349484951243    9.309905563999353e-05     -0.0006549100878360565     7.094783988793688e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7392.270685147986     All      -5.8352235530477046e-05    5.460172063682263e-05     -0.0005305265103775818     1.3117858060446569e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5378.72187881619      All      0.00013174031853303421     5.831043310088723e-05     -0.00037948621354305775    -4.085325625001495e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4621.2423637496995    All      -0.00031092377295796066    2.298185039829022e-05     -0.0014363504001605183     4.466632525545923e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4292.0430032799695    All      -0.00024339899717975446    0.00010267642237573177    -0.00021416036538164293    0.00010317115618833914    
MWEBV         All|All|All                      All                   All      -0.852879398786424         -4.010050440516455        0.011971211888354878       -1.0278602559287708       
Redshift      All|All|All                      All                   All      7.178107627344543          -1.6704756299070311       8.827522911118605          -2.488342872452223        
