#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6091.812224865688     All      1.3373109356951403         -0.14124579015808436      0.17953573606923623        -0.4736027133588727       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7392.270685147986     All      0.4950769058171838         -0.09269376625216097      0.4250675370786716         -0.1724874330584908       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5378.72187881619      All      0.6927879843802428         0.22705143217613966       0.3879672407744783         -0.1343925212436481       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4621.2423637496995    All      -1.029958130658764         0.686357118883052         -0.9599488209581342        0.5162222348764012        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4292.0430032799695    All      -0.49745016491299304       0.3183141841878623        -0.03236857326236464       0.26427682559085064       
Check         All|All|All                      All                   All      0.9977675303208096         0.9977831788368086        0.0002531197018873499      1.639280624021744e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6091.812224865688     All      -0.00019621654637341183    4.876341680010547e-05     -0.0012907933347387226     2.219585547697469e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7392.270685147986     All      -0.00010602842291535835    3.3135676411078835e-05    -0.0010106554966889342     2.294124690727083e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5378.72187881619      All      0.00029261558749731564     8.757846646336141e-05     -0.0003381617900313262     -8.187794340985209e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4621.2423637496995    All      -0.0004486635181936949     0.00010004560182085821    -0.001147553549114087      0.00012752256800844405    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4292.0430032799695    All      -0.0003137268254321829     0.00012861672785489998    -0.00015327412596948496    0.0001372459276968285     
MWEBV         All|All|All                      All                   All      -0.8503920978219166        -4.013628062813446        -0.004828537868939442      -1.0305854966382977       
Redshift      All|All|All                      All                   All      6.920992617873654          -2.219746623770291        8.838476360968816          -2.583018886055771        
