#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_z            8023.848715695051     All      0.17312892555996476        -0.020559956690391346     0.700039570106044          -0.03185129027551403     
Zeropoint     AB|SDSS|SDSS_i            6748.874089778037     All      1.2921282964235594         -0.1007285648441325       5.0774106282916955         -0.22711778670740376     
Zeropoint     AB|SDSS|SDSS_u            3238.9353112534714    All      -0.02865673655456974       0.06623813480146623       1.8674979913181518         0.1142482397936882       
Zeropoint     AB|SDSS|SDSS_g            4259.030371704211     All      -0.6965010683659572        0.6082974001635932        -2.1935997503104714        0.3271255057775296       
Zeropoint     AB|SDSS|SDSS_r            5565.2794870009575    All      0.274336596553             0.4461269607116236        -5.2881304906741144        -0.18002720295235514     
Check         All|All|All               All                   All      1.0144360136159973         0.9993739741421592        0.16321794873130457        0.00237746563594482      
Lambda        AB|SDSS|SDSS_z            8023.848715695051     All      -3.442852068985637e-05     9.426780704875704e-06     -0.00021105479685836254    4.866708216656809e-06    
Lambda        AB|SDSS|SDSS_i            6748.874089778037     All      -0.0005270886907417691     -9.300442410222286e-06    -0.0018166986638100719     8.758974963829541e-05    
Lambda        AB|SDSS|SDSS_u            3238.9353112534714    All      -1.5652064638162585e-05    4.033039214531863e-05     0.0012700894497920108      7.491358677686865e-05    
Lambda        AB|SDSS|SDSS_g            4259.030371704211     All      -0.00016686033037660602    0.0001558902289343991     -0.0005677143477220592     7.979599142445701e-05    
Lambda        AB|SDSS|SDSS_r            5565.2794870009575    All      3.0480254448558645e-05     3.5245249295974684e-05    0.0003739870477760741      1.824143986734143e-05    
MWEBV         All|All|All               All                   All      -0.6723040552319448        -3.533188941108989        2.742859224256655          -0.809483117965434       
Redshift      All|All|All               All                   All      2.0205017629741557         0.20003474238166064       -15.645571498695427        -1.2911759986689801      
