#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_z 8023.848715695051 All 0.3395334460286913 -0.002322916227146976 2.3144687823820425 -0.00806975213990177
Zeropoint AB|SDSS|SDSS_i 6748.874089778037 All 0.9941924060021008 0.0522214076557983 3.5139651449297196 -0.1500188187266876
Zeropoint AB|SDSS|SDSS_u 3238.9353112534714 All 0.18189582264482107 0.07880979132066912 2.7133149672649206 0.0875042733521636
Zeropoint AB|SDSS|SDSS_g 4259.030371704211 All -0.3845929504723229 0.5773742647770295 2.2287310491223917 0.4128024003189316
Zeropoint AB|SDSS|SDSS_r 5565.2794870009575 All 0.33047711583440403 0.39346092089056484 -3.1924660578629513 -0.12194920028373407
Check All|All|All All All 1.4615058400376941 1.0995434684169147 7.578013885836123 0.22026890252077175
