#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4283.953411141052    All      -1.005693594923052         0.8236998445943833        0.2674241252167594         0.6078275389811504        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6124.933157465131    All      1.5419030529562057         -0.27234289137512135      -2.1902820803569583        -0.6887018206319968       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7457.047040238583    All      0.4270795432006548         0.05123505611654977       1.8404047784230506         -0.04029610177203486      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5303.433059023214    All      0.03620261335714836        0.40216759907263366       0.13931474297203758        0.12542381286731416       
Check         All|All|All                                All                  All      0.9994916145909561         1.0047596084084454        0.05686156625488922        0.004253429444432882      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4283.953411141052    All      -0.0007314502097564386     0.0003169871938311666     -0.002059849954573875      0.00024958891199054864    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6124.933157465131    All      -0.00039046346858015105    0.0002498558533322866     -0.00021430541179918156    0.00019900960276741036    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7457.047040238583    All      -0.0001556575946162983     5.575319791478578e-05     -0.0005054025817618006     4.630965434192749e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5303.433059023214    All      -2.1996618207990778e-05    3.4731077171402274e-05    -0.0015673823441560218     -5.146699862214397e-05    
MWEBV         All|All|All                                All                  All      -0.8638944097197099        -3.952595757088151        0.3493388769650289         -0.9905022544704339       
Redshift      All|All|All                                All                  All      9.766986261966135          -1.3441628248412663       14.914940106940488         -2.9536815283897577       
