#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4283.953411141052    All      -1.019180485963737         0.7900125105989808        0.7214130613879766         0.6215070312615214         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6124.933157465131    All      1.4199244691647666         -0.4035750096609725       -2.8136631204122464        -0.7195346339811781        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7457.047040238583    All      0.4678465323643598         0.17680883212820575       2.976554131836462          0.038029386262358744       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5303.433059023214    All      0.13112136540709216        0.44515800659183924       -0.8234197166951507        0.06554662540635553        
Check         All|All|All                                All                  All      0.9997118809724813         1.0084043396580533        0.06088435611704135        0.0055484089490575594      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4283.953411141052    All      -0.0007639529146688488     0.00032468950995865166    -0.0012611915083606997     0.0002983254683980732      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6124.933157465131    All      -0.0003110600323084979     0.00010106501493179466    -2.5030550958738694e-05    0.0001331256878693633      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7457.047040238583    All      -0.00018395333138190756    -3.534891232676398e-05    -0.0012532167260607904     -7.519958441428245e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5303.433059023214    All      -3.6125691364314184e-05    0.00013394175970362647    -0.0016651138805018372     -1.8909821029580146e-05    
MWEBV         All|All|All                                All                  All      -0.8668507055357417        -3.9316298013640782       0.49041326634893245        -0.976414488058154         
Redshift      All|All|All                                All                  All      8.898108261660497          -0.23113588539240837      10.904274971298245         -2.487087451460927         
