#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7681.055235233582    All      0.37029775572755647        -0.17671694655376768      0.6688067763231054        -0.14833491007330904      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6402.543909601001    All      1.4925453458900049         -0.32983653969287374      -1.8225111053202347       -0.6749400348572479       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.13675001823     All      -0.02482438627440331       1.0662982819916067        1.5980085734258687        0.4267263331678678        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4289.982050983621    All      -0.8442486961757029        0.44110826087546684       -0.46660617151562667      0.3978605575092928        
Check         All|All|All                                      All                  All      0.9937700191674552         1.0008530566204321        -0.022301927086887385     0.0013119457466037043     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7681.055235233582    All      -0.0001090866986723389     5.4551886247733234e-05    -0.0002079126640556588    4.402428336952667e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6402.543909601001    All      -0.00035077837411402903    7.758161401791334e-05     6.100503919071816e-05     0.00014225331547266148    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.13675001823     All      -0.0001013642122839742     0.0004370826226391851     0.00010507631160418247    0.00018007892169802353    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4289.982050983621    All      -0.0005712893234081107     0.00019076669496934684    -0.0010782163255998913    0.00020011087354080534    
MWEBV         All|All|All                                      All                  All      -0.8097480824952923        -3.995655512500118        0.12189210245789894       -1.0323153784912358       
Redshift      All|All|All                                      All                  All      7.200249561742612          -2.5346442783512835       -1.1475386907603191       -3.222184573527055        
