#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7681.055235233582    All      0.3323233244723147         -0.12755845052083714      0.6343490485885365        -0.12149053919756428      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6402.543909601001    All      1.4891608158690155         -0.3004608583258239       -1.4754261896605287       -0.6487801505466879       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.13675001823     All      0.19333712631615263        0.8676143984736484        1.367038245436688         0.2806389289193231        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4289.982050983621    All      -1.0194097015333452        0.5599339668719949        -0.5324673600088241       0.49068261891991244       
Check         All|All|All                                      All                  All      0.9954115651241376         0.9995290564989823        -0.006506255644128323     0.0010508580949833979     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7681.055235233582    All      -9.059162815814933e-05     3.659967860341724e-05     -0.0001721123938116194    3.3749807429763754e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6402.543909601001    All      -0.0004440563024138457     0.000128606459087883      -0.0003265437491554911    0.00017196295370274477    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.13675001823     All      -3.5001666860525783e-06    0.0002379537414563272     -0.0005755938917667484    5.296336969717761e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4289.982050983621    All      -0.0005667356686826343     0.00020123206756890422    -0.001045140674856244     0.0002035125289238544     
MWEBV         All|All|All                                      All                  All      -0.8292327440554503        -3.977131956021296        0.0983232292860947        -1.0209866220044466       
Redshift      All|All|All                                      All                  All      7.349119100368693          -2.0393557361658488       2.9381400556329536        -2.927019429613299        
