#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4728.104160979259    All      3.8562226262852013        0.6327748420456913        0.5084877141149676        -1.027291520327609        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3948.309191710456    All      -2.8645644648219957       0.36887679725374767       -0.503336336177392        1.0307766071724562        
Check         All|All|All                            All                  All      0.9916581614632057        1.001651639299439         0.005151377937575585      0.003485086844847274      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4728.104160979259    All      -0.0005068815484791094    -9.027086953980048e-05    -0.0007391877339322957    0.00010271725061582552    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3948.309191710456    All      -0.0015231402329748537    0.00013816894697125272    -0.0019878679078621586    0.0004524336405762185     
MWEBV         All|All|All                            All                  All      -0.10931548899298416      -1.9731373041302902       0.049612833070316706      -0.6048940902301866       
Redshift      All|All|All                            All                  All      2.010765332492652         -0.3600598416841905       -0.35604245630785825      -0.7881442966420259       
