#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4728.104160979259    All      3.8111953925878512        0.6461253271719869         0.32216789259049694       -1.016590574635494        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3948.309191710456    All      -2.8201612389618185       0.35562193751061955        -0.31658827746898766      1.0203291799541325        
Check         All|All|All                            All                  All      0.9910341536260329        1.0017472646826064         0.005579615121509285      0.003738605318638566      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4728.104160979259    All      -0.0007354340830365588    -0.00012536406841581461    -0.0004292428373099505    0.00017956473808119903    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3948.309191710456    All      -0.001221752995590064     0.00012658168946235246     -0.0016235436344845574    0.00036674567007427756    
MWEBV         All|All|All                            All                  All      -0.12297275442316935      -1.9729571872435514        0.03710003417580765       -0.6009451883186634       
Redshift      All|All|All                            All                  All      1.413378241407774         -0.0661982007574835        -1.2748402316079321       -0.538836988239591        
