#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.624071456136    All      -0.7917661433915151        0.4868158061762884         -0.12277137497420328       0.4109974824743771        
Zeropoint     AB|CNIa02|SDSS_r                      6107.344971135718    All      1.176667932557381          -0.11277063484804728       -0.02024085308262027       -0.42091581898297953      
Zeropoint     AB|CNIa02|SDSS_g                      4673.865487492188    All      -0.513771551110259         0.4714244869280293         0.08874418837374715        0.3248710071157953        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.587499060763    All      0.6986424952353079         0.223596023134931          -0.10701709580530848       -0.15951394600185803      
Zeropoint     AB|CNIa02|SDSS_i                      7406.223232689005    All      0.42910424303743117        -0.07199451172636984       0.16195643003737353        -0.15599697845233904      
Check         All|All|All                           All                  All      0.9988769763283458         0.9970711696648316         0.0006712945489886768      -0.0005582538470041698    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.624071456136    All      -0.00023234236688548498    5.676585699391231e-05      -0.0004154340094839095     7.563314807169436e-05     
Lambda        AB|CNIa02|SDSS_r                      6107.344971135718    All      -0.00017186847073253562    -3.1709192726521276e-05    -0.0006211887687057815     1.7933686219323226e-05    
Lambda        AB|CNIa02|SDSS_g                      4673.865487492188    All      -0.00011034904286099046    1.5387483106354512e-05     -0.00031639840099040724    2.6837115645491587e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.587499060763    All      4.9667893143420615e-05     -4.6025801859880375e-05    -0.0008702060597087812     -7.000388442456157e-05    
Lambda        AB|CNIa02|SDSS_i                      7406.223232689005    All      -9.0660176421105e-05       -1.3610831865940991e-06    -0.0002568590853025356     1.7625211253440886e-05    
MWEBV         All|All|All                           All                  All      -0.8909084907347165        -4.050184660298228         0.019737652949732995       -1.0281993847261885       
Redshift      All|All|All                           All                  All      5.010900417519923          -0.11978867344151212       3.639484319276516          -1.508820761961092        
