#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.624071456136    All      -0.8363755100092716        0.5146507398599454         -0.15065075241827985       0.43335084585925493        
Zeropoint     AB|CNIa02|SDSS_r                      6107.344971135718    All      1.1690563446299913         -0.09330766093036402       0.030982859984574063       -0.4098108644112276        
Zeropoint     AB|CNIa02|SDSS_g                      4673.865487492188    All      -0.42437742128743194       0.3895596538219692         0.08252560356762917        0.2688088217583604         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.587499060763    All      0.6971532607665795         0.2501369141715948         -0.1487606112097528        -0.15224643333248236       
Zeropoint     AB|CNIa02|SDSS_i                      7406.223232689005    All      0.39352510042334454        -0.06337105505700436       0.18921661013413527        -0.14038224100715713       
Check         All|All|All                           All                  All      0.9989817745232118         0.997668591866141          0.00331371005830583        -0.00027987113325175783    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.624071456136    All      -0.00032795375946655195    7.784050749867183e-05      -0.0005492475740211295     0.00010767014635971632     
Lambda        AB|CNIa02|SDSS_r                      6107.344971135718    All      -8.078529379107535e-05     -2.0521565333099736e-05    -0.000427204729039358      5.656939998643513e-07      
Lambda        AB|CNIa02|SDSS_g                      4673.865487492188    All      2.402647813289828e-05      -1.6011586482324595e-05    -0.00023567487566618052    -2.355880214380769e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.587499060763    All      -6.080052552244918e-05     -4.161356740227042e-06     -0.0008964277964684926     -2.1554214766762656e-05    
Lambda        AB|CNIa02|SDSS_i                      7406.223232689005    All      -5.372120909247205e-05     -3.154838772841982e-06     -0.00018795928080314402    8.083370960781543e-06      
MWEBV         All|All|All                           All                  All      -0.8802331797156668        -4.052016839985395         0.029430422834209047       -1.0318409421307628        
Redshift      All|All|All                           All                  All      5.086769708365407          -0.3638039734811471        3.505701890850932          -1.6189877924429892        
