#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W          3695.3919638237576    All      -2.1918088979297363       0.18028482360605835       -1.3389717042001426        0.71291680718579           
Zeropoint     ST|NICMOS2|F110W_faint       5547.298072140995     All      3.269998167637135         0.18142385778681103       -0.08251354882711226       -1.0097324645080257        
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4303.895017079947     All      -0.07662110486142248      0.6399384142593334        1.4097803985779311         0.2963190337869487         
Check         All|All|All                  All                   All      1.0015681648459764        1.0016470956522028        -0.011704854449323676      -0.0004966235352870108     
Lambda        VEGAHST|ACSWF|F775W          3695.3919638237576    All      -0.0045047933226619015    0.0002642624044868831     -0.001066946002455274      0.0015058254478216328      
Lambda        ST|NICMOS2|F110W_faint       5547.298072140995     All      -0.0010587968509545036    -3.678941102419781e-05    -0.00015081455017126974    0.00032617128552340125     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4303.895017079947     All      0.0006036898096032008     -0.0001777743111753932    -0.0022870603514870505     -0.00035660957294212373    
MWEBV         All|All|All                  All                   All      -0.03195638735382467      -1.405051012697811        -0.030389763554072857      -0.44861824851820664       
Redshift      All|All|All                  All                   All      6.237696530957621         0.3041208818073571        -2.7433422276397668        -2.055183561673261         
