#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W          3695.3919638237576    All      -1.4999000229091175        0.13737155843926985       -0.4971311501774477       0.5111285386886244         
Zeropoint     ST|NICMOS2|F110W_faint       5547.298072140995     All      2.0070370625732648         0.21188550500177428       -0.23125311817477176      -0.5950596855900437        
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4303.895017079947     All      0.48946107607044004        0.6495213552424772        0.7278044190005328        0.08461546728830953        
Check         All|All|All                  All                   All      0.9965981157345875         0.9987784186835214        -0.0005798493516866454    0.0006843203868901887      
Lambda        VEGAHST|ACSWF|F775W          3695.3919638237576    All      -0.0031826512964100158     0.00016946653683435337    -0.0020322635076696727    0.0010012044731901055      
Lambda        ST|NICMOS2|F110W_faint       5547.298072140995     All      -0.000840313886727667      -8.483919897406214e-05    8.863771897717059e-05     0.00025003845447996        
Lambda        VEGAHST|ACSWF|F850LP_3pix    4303.895017079947     All      -0.00039310923404319123    -0.0002066539690649835    -0.0020281793391781844    -2.9773714817330152e-05    
MWEBV         All|All|All                  All                   All      -0.06206827918838109       -1.400727947110525        -0.010068861170341049     -0.4364948214666061        
Redshift      All|All|All                  All                   All      5.989640218953134          0.6648918128178138        -0.938769121700777        -1.7763386891883801        
