#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6211.860914165488     All      1.1407718099406097         0.05499923143403862       0.1897342847789574        -0.3452048799647733       
Zeropoint     AB|SDSS|SDSS_r            5122.44585716448      All      0.7758301584824052         0.34563650089793896       -0.34722558754710003      -0.1556233104489964       
Zeropoint     AB|SDSS|SDSS_g            3920.1360028785516    All      -1.0396905715160183        0.5887715570755958        -0.006359064675590933     0.5301599142446444        
Zeropoint     AB|SDSS|SDSS_z            7385.384814586506     All      0.12149522256181056        0.009445641373417857      0.16672605995465375       -0.029058016604105907     
Check         All|All|All               All                   All      0.9984066194688072         0.9988529307809912        0.0028756925109201803     0.00027370722676877193    
Lambda        AB|SDSS|SDSS_i            6211.860914165488     All      -0.0001708324217448368     -2.968380044136858e-05    -0.0003730692904581644    2.932838062237775e-05     
Lambda        AB|SDSS|SDSS_r            5122.44585716448      All      5.345043630108993e-05      2.2594349376796646e-05    -0.001373945284839292     -7.136371040627893e-05    
Lambda        AB|SDSS|SDSS_g            3920.1360028785516    All      -0.001076082016457973      0.0004338263855611826     -0.0013130270256419883    0.00043323247540918676    
Lambda        AB|SDSS|SDSS_z            7385.384814586506     All      -1.8821545450737327e-05    -1.988993637961342e-06    -3.358710024024647e-05    3.984077876176618e-06     
MWEBV         All|All|All               All                   All      -0.5669115386546828        -3.200778131478188        0.10038665629627457       -0.8534572055084416       
Redshift      All|All|All               All                   All      5.011027427704231          0.5383477425009886        0.7133778316070843        -1.42506414406289         
