#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6211.860914165488     All      1.1934513305484717         0.034524176759376246       0.13236571125527785       -0.37159382780036565      
Zeropoint     AB|SDSS|SDSS_r            5122.44585716448      All      0.7369436311357711         0.36421231255285846        -0.3197811574671361       -0.1356812173146288       
Zeropoint     AB|SDSS|SDSS_g            3920.1360028785516    All      -1.0892362980842503        0.5920082371931201         -0.014958429268552287     0.5469691304454655        
Zeropoint     AB|SDSS|SDSS_z            7385.384814586506     All      0.15637474838921744        0.008229555928274124       0.20435610658164904       -0.03913628855350404      
Check         All|All|All               All                   All      0.99753341198921           0.998974282433629          0.0019822311012385185     0.00055779677696699       
Lambda        AB|SDSS|SDSS_i            6211.860914165488     All      -0.0003575534488320983     -3.8298009545657875e-05    -0.0005249365654048827    8.056649179999072e-05     
Lambda        AB|SDSS|SDSS_r            5122.44585716448      All      0.00011278552087673181     7.2497369105860524e-06     -0.0011505633597248648    -8.572083526008217e-05    
Lambda        AB|SDSS|SDSS_g            3920.1360028785516    All      -0.0011074237400284022     0.00033810819938348617     -0.0018054914032444532    0.0003902865202499669     
Lambda        AB|SDSS|SDSS_z            7385.384814586506     All      -2.1172763605932297e-05    -1.03748716808009e-06      -3.376138316327516e-05    5.0521064965744325e-06    
MWEBV         All|All|All               All                   All      -0.5647209347069015        -3.1978485007501334        0.12928703186136925       -0.8519267891460014       
Redshift      All|All|All               All                   All      4.741093783910696          0.5562989882042402         -2.905579512201739        -1.4927880094065453       
