#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6020.030579683616    All      1.2168463217654426        -0.004237987132427179      -0.9330246025632372        -0.43938393467395226       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5092.587854229142    All      0.3137985160406914        0.3258752213818106         0.9575316654792276         0.046664020687874064       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4210.812091681549    All      -1.1946892276975116       0.7473048584852648         -1.0010654705088218        0.5878984093560482         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7458.954678610246    All      0.6623933739399439        -0.07328348623882874       0.9872335340125993         -0.19557845798666013       
Check         All|All|All                       All                  All      0.9983489840485664        0.9956586064958195         0.010675126419767977       -0.00039996261669011934    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6020.030579683616    All      -0.0002852731895423037    -1.3701261937536592e-05    -0.00017044079501289804    8.08539213967427e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5092.587854229142    All      0.00014188264168745252    -8.350658985682052e-05     0.00033151678918747743     -5.862261609954027e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4210.812091681549    All      -0.0007983035432510177    0.0002734195489871424      -0.0027987514764250226     0.0002242000455921603      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7458.954678610246    All      -9.665095023668203e-05    1.8548367921082993e-05     -0.00033945308942850017    2.237597553943339e-05      
MWEBV         All|All|All                       All                  All      -0.7443080581376145       -3.831481259818581         0.17248610161662015        -0.9978966142539055        
Redshift      All|All|All                       All                  All      6.6809855260820585        0.7500352208007044         12.591579914179052         -1.370001256364438         
