#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6020.030579683616    All      1.2248924255820755         -0.02378428521074838      -2.3157355288920525        -0.5100757258146694       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5092.587854229142    All      0.15376064765646374        0.41440748158665386       -0.31579168217627074       0.07080891644040424       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4210.812091681549    All      -1.0158811706943482        0.6793010916343434        0.711092990264807          0.5839094469038991        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7458.954678610246    All      0.6424124417710602         -0.0740241561763888       1.9777183291437295         -0.14511048431751075      
Check         All|All|All                       All                  All      1.005184344315251          0.9959001318338601        0.05728410834021336        -0.0004678467878768411    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6020.030579683616    All      -0.0003661691748101276     3.393409290074519e-05     -0.00037951611072315725    0.00011339073633283396    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5092.587854229142    All      7.06304522610794e-05       1.3658601723233937e-05    -0.0009745095950066204     -6.204549350285096e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4210.812091681549    All      -0.0007141714041934417     0.00024696426950822505    -0.001483653318841308      0.0002468648759024129     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7458.954678610246    All      -0.00011919014854261148    1.640822373615315e-05     -0.0004117884395994615     2.5792624121706322e-05    
MWEBV         All|All|All                       All                  All      -0.7203025109202756        -3.833789785364594        0.34696251224153335        -0.9986818925951886       
Redshift      All|All|All                       All                  All      8.48847982479612           -0.19793212115226666      23.791436893133618         -1.7677475868368338       
