#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     VEGAHST|TONRY|TONRY_Z            5047.816203987785    All      4.881877564718097         -0.039833004201739186      0.166262771477943          -1.5957435078916475       
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    4401.572349693915    All      -3.8808035803592587       1.0416879687255687         -0.1627450548640108        1.5961548783610613        
Check         All|All|All                      All                  All      1.001073984358838         1.0018549645238295         0.003517716613932187       0.0004113704694137521     
Lambda        VEGAHST|TONRY|TONRY_Z            5047.816203987785    All      0.0015871873925112116     -2.7662717327415976e-05    -0.00010779858821107227    -0.0005308203636558778    
Lambda        Linear_AB11_off|TONRY|TONRY_I    4401.572349693915    All      0.00021639987396222414    -0.0004751108562223545     -0.002634934758983444      -0.0003428328313242054    
MWEBV         All|All|All                      All                  All      0.09264150800277471       -1.7792495050038326        -0.004425058027468509      -0.60993395633758         
Redshift      All|All|All                      All                  All      1.6753165209913286        1.9376953509425476         -1.9441491984006354        -0.001293032648100323     
