#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|TONRY|TONRY_Z            5047.816203987785    All      4.895019235975804        -0.0454068348483716       0.27580230731653177       -1.5969515161960295        
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    4401.572349693915    All      -3.893427176071847       1.0470097085388375        -0.27724968153421364      1.5968904489382727         
Check         All|All|All                      All                  All      1.0015920599039567       1.0016028736904659        -0.0014473742176818738    -6.106725775678612e-05     
Lambda        VEGAHST|TONRY|TONRY_Z            5047.816203987785    All      0.002325314059243621     -3.644286123587102e-05    -4.166450493902841e-05    -0.0007711612239922277     
Lambda        Linear_AB11_off|TONRY|TONRY_I    4401.572349693915    All      -0.000578819894676189    -0.0003351390138352872    -0.0027318294149161386    -4.2534120196289685e-05    
MWEBV         All|All|All                      All                  All      0.08538356794869939      -1.7789993252293357       -0.005201300410703259     -0.60752295483202          
Redshift      All|All|All                      All                  All      1.4574089942270843       1.6403189881948776        -1.236545427764894        0.004398459401955291       
