#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.151619805638    All      1.0222363633273555      0.9952705340808832       0.013156976213934968      -0.00819652231438539     
Check         All|All|All                           All                  All      1.0222363633273555      0.9952705340808832       0.013156976213934968      -0.00819652231438539     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.151619805638    All      0.019387588652160816    -0.008606259700557124    1.2921202955823768e-06    -0.009118459717341189    
MWEBV         All|All|All                           All                  All      -0.771795293433768      -4.074176513321359       0.011970328113175555      -1.0751600276664774      
Redshift      All|All|All                           All                  All      -233.10691081155446     93.41401551284739        -3.8429949306887146       106.1871127097386        
