#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                  ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.151619805638    All      0.9979588916758506      1.001097601684009       0.0013504718385589061    0.001082646465811327     
Check         All|All|All                           All                  All      0.9979588916758506      1.001097601684009       0.0013504718385589061    0.001082646465811327     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.151619805638    All      0.020796580099480415    -0.00909300974179951    6.769697310300404e-05    -0.009733001744613947    
MWEBV         All|All|All                           All                  All      -1.0571864479302033     -3.973148479308275      -0.014440939400831234    -0.9504691987218195      
Redshift      All|All|All                           All                  All      -89.09391479312458      37.834229226714285      -8.9037315093318         40.947339675263976       
