#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5389.8423072960895    All      0.12523845474248257       0.4209386654348002         0.2660252523568943         0.108190772073359         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.245920345291     All      -0.8554153728868891       0.6799613701465645         -0.11929105448470506       0.4947993057228173        
Zeropoint     AB|PS|PS_r                            6113.492180834272     All      0.3956527278500748        -0.06816437296377487       -0.781052059230582         -0.18593525502555033      
Zeropoint     AB|CNIa02|SDSS_i                      7369.653923941645     All      0.3197765136052531        -0.04648744033088903       0.3218906247545404         -0.10493971933054402      
Zeropoint     AB|PS|PS_i                            7404.763070959173     All      0.19258221701161268       -0.06313844051870632       -0.11525657756676579       -0.0884400028198586       
Zeropoint     AB|PS|PS_z                            8509.879581260764     All      0.14037376330271029       -0.04636806809168448       -0.028337168852736527      -0.06209251580691195      
Zeropoint     AB|CNIa02|SDSS_r                      6077.189063480879     All      0.7560611848805521        0.02681119512812913        0.4546244336120141         -0.21725291281680034      
Zeropoint     AB|PS|PS_g                            4814.030697418607     All      -0.07788455037830942      0.09410950325667855        0.003079849393340384       0.05616156123839596       
Check         All|All|All                           All                   All      0.996384938127487         0.9976624120611177         0.0016832999819998422      0.0004912332349070667     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5389.8423072960895    All      9.5189829600652e-06       4.211757841978649e-05      -8.594620522052542e-05     6.783050600817364e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.245920345291     All      -0.000276743510374381     0.00010324226408540721     -0.0006304461054934622     9.563995374826839e-05     
Lambda        AB|PS|PS_r                            6113.492180834272     All      -9.222394707074046e-05    -2.0761292717943742e-05    -0.00030889493343754285    9.493175397997833e-06     
Lambda        AB|CNIa02|SDSS_i                      7369.653923941645     All      -7.166415353611867e-05    1.0828063885195376e-05     -7.733811519796857e-05     2.3419184247293926e-05    
Lambda        AB|PS|PS_i                            7404.763070959173     All      -4.751539920381015e-05    -1.599594592124319e-05     -0.00024413528892485       -6.277137785464154e-07    
Lambda        AB|PS|PS_z                            8509.879581260764     All      8.13211786628734e-05      -3.933009064160352e-05     -9.394946750452059e-05     -4.349262096175774e-05    
Lambda        AB|CNIa02|SDSS_r                      6077.189063480879     All      -5.780272358588159e-05    -9.974461342818346e-06     -0.00013539943930849715    9.536983406449228e-06     
Lambda        AB|PS|PS_g                            4814.030697418607     All      3.7091540998344584e-06    -5.7325970016809006e-06    -3.773660660044295e-06     -3.243890101609586e-06    
MWEBV         All|All|All                           All                   All      -0.8191560454619711       -4.044473570328133         0.013183524576357665       -1.0500037074915964       
Redshift      All|All|All                           All                   All      5.027055116238786         -0.540703333466741         -1.7219908133219843        -1.8904466420620978       
