#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5389.8423072960895    All      0.1271715236899133         0.4174813370233288         0.2510226264702653         0.10576544402600713        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.245920345291     All      -0.8502518109206892        0.7020552460724083         0.011046084345633922       0.5061304138594298         
Zeropoint     AB|PS|PS_r                            6113.492180834272     All      0.40509210617919506        -0.06880570955818399       -0.8100395060250065        -0.1905124521377215        
Zeropoint     AB|CNIa02|SDSS_i                      7369.653923941645     All      0.3101825648292239         -0.03825260670051733       0.3763356850214672         -0.09670266536866458       
Zeropoint     AB|PS|PS_i                            7404.763070959173     All      0.20129218499281762        -0.06760284486269086       -0.1521370654409937        -0.09437713609802105       
Zeropoint     AB|PS|PS_z                            8509.879581260764     All      0.14089732583902612        -0.05447191614562641       -0.11615151667359047       -0.06882149829606984       
Zeropoint     AB|CNIa02|SDSS_r                      6077.189063480879     All      0.7307474993802334         0.03122015642160747        0.46510034993550997        -0.20710377687865184       
Zeropoint     AB|PS|PS_g                            4814.030697418607     All      -0.06613180994580917       0.07849684156262526        -0.006012092486451515      0.0468420178624725         
Check         All|All|All                           All                   All      0.9989995840439109         1.0001205038129513         0.019164565146834178       0.0012203469687806848      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5389.8423072960895    All      1.2381729437451951e-05     4.7201463559138345e-05     -4.257765274926749e-05     9.441887848546171e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.245920345291     All      -0.00024190819499973737    9.223815951435189e-05      -0.0005517766682431016     8.421920226865941e-05      
Lambda        AB|PS|PS_r                            6113.492180834272     All      -0.0001226291774655894     -1.3457564111323834e-05    -0.0003513532666525353     1.9881503525364245e-05     
Lambda        AB|CNIa02|SDSS_i                      7369.653923941645     All      -8.426874698192528e-05     1.64071353040101e-05       -5.589964518753636e-05     3.0298902571740356e-05     
Lambda        AB|PS|PS_i                            7404.763070959173     All      -6.46939472805348e-05      -1.7189040330504006e-05    -0.0003067745081521442     1.78397372416516e-06       
Lambda        AB|PS|PS_z                            8509.879581260764     All      6.771397181263333e-05      -5.386795130356484e-05     -0.00025982382154426205    -5.1197976113277546e-05    
Lambda        AB|CNIa02|SDSS_r                      6077.189063480879     All      -7.28633734999266e-05      -2.4878396548640026e-05    -0.0002022990981043997     6.60260602963642e-06       
Lambda        AB|PS|PS_g                            4814.030697418607     All      1.3640695650564393e-05     -8.208960290928276e-06     6.778958497919405e-06      -6.814637989341274e-06     
MWEBV         All|All|All                           All                   All      -0.8228166055267274        -4.043934746487832         0.0007596919538110924      -1.0491902485874374        
Redshift      All|All|All                           All                   All      4.9090560969967285         -0.5001954423974553        -2.4139475711421277        -1.8696945787103112        
