#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3789.419031563592     All      -1.0546782509115042        0.4948097294143139         -0.0945578127904082        0.500499530936004          
Zeropoint     AB|SDSS|SDSS_i            6004.7263544631605    All      1.254142782442707          0.10815885206678644        -0.010652057350555244      -0.37376002027131816       
Zeropoint     AB|SDSS|SDSS_r            4951.637852625422     All      0.7071632272246868         0.39041750603843184        0.025462963206832067       -0.10203820691430587       
Zeropoint     AB|SDSS|SDSS_z            7139.119089558253     All      0.09134128114746898        0.005344678297447558       0.08038979331473883        -0.024424495493779216      
Check         All|All|All               All                   All      0.9979690399033587         0.9987307658169797         0.0006428863806074575      0.0002768082566007163      
Lambda        AB|SDSS|SDSS_g            3789.419031563592     All      -0.001446346544566578      0.000635996630308536       -0.0005090815683490912     0.000655569706844068       
Lambda        AB|SDSS|SDSS_i            6004.7263544631605    All      -0.00018224230565337438    -2.5245316571537603e-05    -0.0002703869382759654     3.9072957178511244e-05     
Lambda        AB|SDSS|SDSS_r            4951.637852625422     All      -0.0003024432748427827     -0.00010561539835543067    -0.0020117549659448225     -2.5662069657032125e-05    
Lambda        AB|SDSS|SDSS_z            7139.119089558253     All      -3.05775564621815e-05      -2.4030452274172607e-06    -4.1654434323684654e-05    7.3185191310812495e-06     
MWEBV         All|All|All               All                   All      -0.561691386886527         -3.0459179268765624        0.03169813534635521        -0.8077797705040992        
Redshift      All|All|All               All                   All      4.666427413865536          0.3515489896294355         7.287366683069211          -1.0802961526565535        
