#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5029.602403647855     All      0.9969505052764953        0.16726700267604144       0.20178047950460964       -0.2612506765173689       
Zeropoint     AB|MEGACAMPSF|r           3566.3432235668943    All      -1.9403460467152793       0.03355180928625856       -0.7083845555255763       0.6113515217897505        
Zeropoint     AB|MEGACAMPSF|i           4368.283637436695     All      1.9467343382587692        0.7987269888738879        0.5104975087479646        -0.35116260282944955      
Check         All|All|All               All                   All      1.0033387968199852        0.9995458008361879        0.0038934327269979363     -0.0010617575570679438    
Lambda        AB|MEGACAMPSF|z           5029.602403647855     All      0.0001937809137366305     2.5896222415271043e-05    -1.643102845884686e-05    -5.541880854078876e-05    
Lambda        AB|MEGACAMPSF|r           3566.3432235668943    All      -0.0027483758016540977    -6.274422965605381e-05    -0.0024942130058226417    0.0007634932867102091     
Lambda        AB|MEGACAMPSF|i           4368.283637436695     All      -0.0007367360473609552    -0.0002862024458670662    -0.0024108923038441243    3.916656542906971e-05     
MWEBV         All|All|All               All                   All      -0.2783932078526272       -1.8431007235511387       0.004284756528893929      -0.509485506206532        
Redshift      All|All|All               All                   All      9.56106894670416          1.684615167205017         2.466314192379504         -2.455559848580831        
