#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     VEGAHST|TONRY|TONRY_J            6432.385141089329    All      1.1855571214238936        0.0695148248675892         -0.036713214009844626      -0.3651700348129163       
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    4099.105326689307    All      -1.900789960367948        0.704831173953302          -0.12578753579902996       0.8431232058360856        
Zeropoint     VEGAHST|TONRY|TONRY_Z            4700.940628944521    All      1.7291675231917873        0.22594659384793658        0.16110067432522956        -0.48245932800042163      
Check         All|All|All                      All                  All      1.0139346842477333        1.0002925926688278         -0.0014000754836450136     -0.0045061569772523735    
Lambda        VEGAHST|TONRY|TONRY_J            6432.385141089329    All      0.00044813917045153365    2.7994462565126193e-05     5.170270297484371e-07      -0.0001368318811672091    
Lambda        Linear_AB11_off|TONRY|TONRY_I    4099.105326689307    All      -0.0011702154038183308    0.00035214789420725075     -0.0002747129628327605     0.0004836246326115614     
Lambda        VEGAHST|TONRY|TONRY_Z            4700.940628944521    All      0.0001764502799344442     -2.0560765222206038e-05    -0.00041925429405091554    -8.28823724565556e-05     
MWEBV         All|All|All                      All                  All      -0.02776218531728203      -1.5858160811845323        0.004307663673338184       -0.5073171810892518       
Redshift      All|All|All                      All                  All      3.9907481040854944        -0.39249471375946143       -2.206459978996445         -1.5262305651359833       
