#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5083.918858370671     All      0.74089497947757           0.3329703032937559         -0.4894271907113219        -0.1547153750199561       
Zeropoint     AB|SDSS|SDSS_g            3890.6518308119535    All      -1.0366562010957945        0.5737549565548505         0.05195239028609655        0.5268822915699806        
Zeropoint     AB|SDSS|SDSS_i            6165.140194294406     All      1.207846202414991          0.08645634369024435        0.3422294476531854         -0.3500014411714203       
Zeropoint     AB|SDSS|SDSS_z            7329.837773236048     All      0.0861414780250852         0.005776291867931604       0.09797730959031788        -0.021805307733967442     
Check         All|All|All               All                   All      0.9982264588218518         0.9989578954067824         0.002731956818277939       0.00036016764463669623    
Lambda        AB|SDSS|SDSS_r            5083.918858370671     All      -4.976980844877227e-05     -1.0353918458193598e-05    -0.001220465423838311      -4.162471435676545e-05    
Lambda        AB|SDSS|SDSS_g            3890.6518308119535    All      -0.0010653750634047662     0.0004551108689020353      -0.0011862084264450666     0.0004423372566396832     
Lambda        AB|SDSS|SDSS_i            6165.140194294406     All      -0.00020297189956092041    -2.5441849398165247e-05    -0.0002456981449138539     4.686299814643556e-05     
Lambda        AB|SDSS|SDSS_z            7329.837773236048     All      -1.9784183134627572e-05    -1.165539393839711e-06     -1.9571085992825412e-05    5.191337120446509e-06     
MWEBV         All|All|All               All                   All      -0.5722395947610388        -3.1655231714326604        0.08482086298002543        -0.8409326118708007       
Redshift      All|All|All               All                   All      5.5116763642694515         0.6678039310074269         1.0526141831630156         -1.5308352736705835       
