#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5083.918858370671     All      0.8198886562535168         0.3609073932382856         -0.328164862140623        -0.16414978798973828       
Zeropoint     AB|SDSS|SDSS_g            3890.6518308119535    All      -1.002074647662351         0.5520625158963455         0.06264720567711601       0.5090292608262089         
Zeropoint     AB|SDSS|SDSS_i            6165.140194294406     All      1.1096941341778161         0.08150885509135009        0.20400674446039296       -0.3258098876532223        
Zeropoint     AB|SDSS|SDSS_z            7329.837773236048     All      0.07099016525442027        0.0038301341369617603      0.06296249314321489       -0.019066504741641066      
Check         All|All|All               All                   All      0.9984983080234023         0.9983088983629429         0.001451581140100855      3.080441607294926e-06      
Lambda        AB|SDSS|SDSS_r            5083.918858370671     All      -0.00014168513601570235    -2.7312825089839457e-05    -0.0013137111497733037    -2.1370070551491766e-05    
Lambda        AB|SDSS|SDSS_g            3890.6518308119535    All      -0.0009532439200988257     0.0004022493493183533      -0.0012382996498647425    0.00038626912618427013     
Lambda        AB|SDSS|SDSS_i            6165.140194294406     All      -0.00019247320955575691    -2.242640992269652e-05     -0.0001053278884496673    5.068953710601172e-05      
Lambda        AB|SDSS|SDSS_z            7329.837773236048     All      -1.433581461901789e-05     -2.0595534569362882e-07    3.1115302280280247e-06    4.741413327219577e-06      
MWEBV         All|All|All               All                   All      -0.5771685346429045        -3.1620095484079513        0.09574975888413106       -0.8376948849504628        
Redshift      All|All|All               All                   All      5.580377340257857          0.8770006844450506         0.9699813926086861        -1.4887586987053474        
