#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4734.042364190149    All      -2.465834321843148        1.3442666263376424        -0.5525201589339136       1.2164187903605357       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5669.020411920405    All      3.4623112234063096        -0.3413283251433086       0.5534139377779851        -1.214274214682096       
Check         All|All|All                            All                  All      0.9964769015631616        1.0029383011943338        0.0008937788440714911     0.0021445756784397307    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4734.042364190149    All      -0.0006006237396092675    -9.950743423158176e-05    -0.0023451591057481735    5.857638693491396e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5669.020411920405    All      -0.0011874498003899788    9.350569868026552e-05     -0.0005053305367556568    0.0003946987672751529    
MWEBV         All|All|All                            All                  All      -0.2885357706108893       -2.632822963647996        -0.016185479268866595     -0.7643337471325543      
Redshift      All|All|All                            All                  All      6.449439735471637         1.4858216075793962        5.981979088506858         -1.3498654699566128      
