#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4734.042364190149    All      -2.4144827913691587        1.3108404676110297         -0.49359110924472316       1.1914336407210624        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5669.020411920405    All      3.4115652983077105         -0.3079368540383598        0.49575151221702973        -1.1894411059193282       
Check         All|All|All                            All                  All      0.9970825069385518         1.0029036135726699         0.0021604029723065743      0.001992534801734225      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4734.042364190149    All      -0.00026007906955909717    -0.00031003954906179475    -0.002482143779591739      -0.0001270404486341257    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5669.020411920405    All      -0.0016079084150912209     0.00013101843685930768     -0.00044460597287205515    0.0005465849621065332     
MWEBV         All|All|All                            All                  All      -0.2842331787632477        -2.634595539474205         -0.01953252732662114       -0.7664619924933891       
Redshift      All|All|All                            All                  All      6.6240748971162            2.163388621327478          5.968228449028653          -1.1866576476455364       
