#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7408.29821793927     All      0.5256006655927102         -0.03242765335551567       0.7982514168888751        -0.14614588756822477       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4631.261898568721    All      -0.6597468018694967        0.5938163734380275         0.06893608181553036       0.41140306792060327        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4301.348785347025    All      -0.6207921009072911        0.4022143506406728         0.21958187092975942       0.34302578757828694        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5390.383740909677    All      0.6955601278929925         0.12229385095015033        -0.49023920050799574      -0.20860881023206435       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6105.020171970296    All      1.0587564043910627         -0.08818348166679257       -0.5877397736848653       -0.3998241807989192        
Check         All|All|All                      All                  All      0.9993782950999777         0.9977134400065424         0.008790395441303889      -0.0001500231003181418     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7408.29821793927     All      -0.00015753403265552992    1.2157114659353007e-05     -0.0001981397600451653    4.64319218855685e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4631.261898568721    All      -6.849658043283553e-05     -0.00010763937125667322    -0.001265851947973084     -6.923925332122158e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4301.348785347025    All      -0.00015069564396792728    4.178236481735268e-05      -0.0004700481267508851    4.1720330755833455e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5390.383740909677    All      0.00010669965732378124     1.9362948266653218e-05     0.0001489537015726362     -2.1801319850709076e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6105.020171970296    All      -0.00019560772982549026    1.7984082301676754e-05     0.0001100353286899197     7.448425151716158e-05      
MWEBV         All|All|All                      All                  All      -0.8480817094329907        -4.010960768165983         0.13954885351890495       -1.0240263406517598        
Redshift      All|All|All                      All                  All      4.18890519844277           0.024812559686182567       0.986819428318194         -1.3123447482335489        
