#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_r
@MAGSYS  Linear_AB11_off
58186.33361  17.752  0.082
58186.33642  17.741  0.083
58190.39538  17.1  0.088
58190.39818  17.118  0.088
58193.21221  16.969  0.084
58193.21502  16.982  0.081
58197.37464  17.086  0.076
58197.37746  17.106  0.079
58200.2345  17.279  0.082
58200.23732  17.288  0.083
