#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7408.29821793927     All      0.6582114348948246         -0.02512214938041879       1.351302230694973          -0.16228181715636225       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4631.261898568721    All      -0.49033151222868393       0.4612000674128147         -0.8010040222300674        0.27420000931465127        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4301.348785347025    All      -0.44394028786067974       0.5666041795667986         2.0411992135723978         0.4202569249794452         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5390.383740909677    All      0.38760281820531717        0.0920296832654266         -1.236784706427585         -0.15146991521839404       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6105.020171970296    All      0.8670475213383471         -0.10174555263704477       -1.4743365098123462        -0.3813606435894734        
Check         All|All|All                      All                  All      0.9785899743491253         0.9929662282275764         -0.11962379420262792       -0.0006554416701332055     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7408.29821793927     All      -4.9177438543306196e-05    -1.6260414508540075e-05    -0.0003106519696115277     -3.1408129648251393e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4631.261898568721    All      -0.00042669240801316373    6.444980727735939e-05      -0.0025394637768537424     4.665657259334214e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4301.348785347025    All      -0.00025569809337297456    0.00032268713289863616     0.0008742257653698982      0.00022741177724015858     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5390.383740909677    All      8.79363070019555e-05       3.689610092704802e-05      -0.00012228793943958114    -2.2082623380498405e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6105.020171970296    All      0.0002797086342650289      6.4004393639583275e-06     1.4043961070273448e-05     -8.839875317082837e-05     
MWEBV         All|All|All                      All                  All      -0.78146138905604          -4.017200793036135         0.28354270322159536        -1.0413335679605007        
Redshift      All|All|All                      All                  All      4.615661681274209          -2.0328450965249267        1.4729765765777891         -2.099905207429309         
