#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5229.594775714047     All      0.5968112929384142         0.22354425662634014        0.003981601711213956       -0.12140767325004488       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4281.007204376794     All      -0.5078528053158522        0.3033069676468436         -0.12350212951006082       0.25871009160254643        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4676.5993338426315    All      -0.3243983945990597        0.44694500906485857        0.05147100235600743        0.25354883745494833        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7401.500434441374     All      0.3736818233987302         -0.03763449175728795       0.19530092651648273        -0.12526387238542672       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6053.638844294908     All      1.1096188712660633         -0.032861020686247855      -0.10949643982220078       -0.37702961049118977       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3498.542407844091     All      -0.25374863828214406       0.09489747038617935        -0.01642110046895831       0.1128327094150085         
Check         All|All|All                              All                   All      0.9941121494061517         0.9981981912806859         0.0013338607824842086      0.0013904823458418814      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5229.594775714047     All      0.00025564816623733697     6.732778015823454e-05      -0.00031071752263414756    -7.520804126383735e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4281.007204376794     All      -0.0003260295725729933     0.00012259884026185537     -0.0005234839164705599     0.00012277235057927752     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4676.5993338426315    All      -0.00010249579898582287    -5.4017656715254884e-05    -0.0008094427306684095     -2.0330785612704922e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7401.500434441374     All      -8.587957321724094e-05     5.018135211523722e-06      -0.0001817346352250358     2.1498391987926632e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6053.638844294908     All      -0.00013329530238214896    -1.8698272587178625e-05    -0.00079783174945175       1.7244560651728226e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3498.542407844091     All      -0.00047875980941088607    0.00011949440814703007     -0.0002581382976316433     0.0001833515540007756      
MWEBV         All|All|All                              All                   All      -1.016361905362138         -3.9026993811800637        0.028835732484252086       -0.9388882672532844        
Redshift      All|All|All                              All                   All      6.0732887201146095         0.6905999574726707         12.165455732115518         -1.2104303997857047        
