#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5229.594775714047     All      0.51578067468166           0.1780628296684128         -0.14307343024282382      -0.11639052278713813      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4281.007204376794     All      -0.4263606172875699        0.3109623418351859         0.037535795178955667      0.24184539513429082       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4676.5993338426315    All      -0.24861721381353397       0.4602841722298301         0.20625449891213954       0.24011669459098606       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7401.500434441374     All      0.41869210490052416        -0.04366506488029387       0.23012650079556884       -0.14033545249896584      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6053.638844294908     All      1.0838655019713341         -0.04345225754400772       -0.26649663493913955      -0.3790970027693824       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3498.542407844091     All      -0.3388458523886657        0.12979117873532786        -0.11427989153856011      0.1475507120466485        
Check         All|All|All                              All                   All      1.0045145980637487         0.9919832000444551         -0.04993316183385943      -0.006310176283561009     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5229.594775714047     All      0.00031715808997684716     8.533321104150874e-05      -0.0004383836092149052    -9.507603693738777e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4281.007204376794     All      -0.00037605987644348656    0.00017367855160943584     -0.0006804540645634677    0.00014870235218492748    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4676.5993338426315    All      -6.411347413410875e-05     8.50022552752633e-05       -8.931651764435082e-05    4.458611286387492e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7401.500434441374     All      -3.614711802230871e-05     -2.1523017280556103e-06    -0.0001873929947745017    2.7107413713831807e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6053.638844294908     All      0.0003056881379317277      2.7879362481623337e-06     0.00010595160179607614    -9.393642743892605e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3498.542407844091     All      -0.00032480550612187087    0.00013707677180939415     0.0007088139058715733     0.0001820813625523357     
MWEBV         All|All|All                              All                   All      -1.0361888807338095        -3.8966676496508867        -0.05203455523257183      -0.9340741052064949       
Redshift      All|All|All                              All                   All      2.779652939665764          -0.4229211764476659        2.6369497621121507        -0.925508794366145        
