#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5875.922818693145     All      2.0905997979839266        0.04136984108278341       0.02898150542177568        -0.6662083031460456        
Zeropoint     VEGAHST|ACSWF|F850LP           4597.618594905565     All      0.4092744827974829        0.6131779768455914        0.17263819788039636        0.0741221261100074         
Zeropoint     VEGAHST|ACSWF|F775W            3914.3088548452156    All      -1.5010315991368874       0.34424972595079595       -0.2013987366289412        0.592081334908638          
Check         All|All|All                    All                   All      0.9988426816445218        0.9987975438791707        0.00022096667323084906     -4.842127400150886e-06     
Lambda        VEGAHST|NICMOS2|F110W_faint    5875.922818693145     All      0.0002437729074758845     3.058285123400923e-06     -3.1828424436034662e-06    -7.855070741604471e-05     
Lambda        VEGAHST|ACSWF|F850LP           4597.618594905565     All      0.0001021573664617441     -7.666835285764212e-05    -0.0018490704433428854     -0.00014076494138676274    
Lambda        VEGAHST|ACSWF|F775W            3914.3088548452156    All      -0.0020886495313249213    0.000430400433501885      -0.0008259444340778824     0.0007836793411590021      
MWEBV         All|All|All                    All                   All      -0.029568686708089542     -1.5382441888078802       9.574338402698794e-05      -0.4914209723961495        
Redshift      All|All|All                    All                   All      3.2089170441855694        0.8835547889308515        3.9585286407978826         -0.5807960363079506        
