#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53368.39999999991  0.6982324040771732  0.025723719645087954  22.92
53377.299999999814  0.5649369748123039  0.02081295607645505  22.92
