#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5875.922818693145     All      1.880968339202931         0.08899744379036179       0.4562812907885849        -0.5633421363434962        
Zeropoint     VEGAHST|ACSWF|F850LP           4597.618594905565     All      0.7775917939458574        0.5060181044104439        -0.6633639928513402       -0.11806337347102513       
Zeropoint     VEGAHST|ACSWF|F775W            3914.3088548452156    All      -1.6563487649433732       0.4027835336460228        0.2198561224766582        0.6805383020744945         
Check         All|All|All                    All                   All      1.0022113682054155        0.9977990818468285        0.012773420413902947      -0.0008672077400267986     
Lambda        VEGAHST|NICMOS2|F110W_faint    5875.922818693145     All      0.00025680264710567177    9.846609600490685e-06     6.6041365612469e-05       -7.749458319748301e-05     
Lambda        VEGAHST|ACSWF|F850LP           4597.618594905565     All      9.928380847468046e-05     -6.50647529583281e-05     -0.00201356976191922      -0.00014339010384884098    
Lambda        VEGAHST|ACSWF|F775W            3914.3088548452156    All      -0.0021015016396806925    0.00039716118853409875    -0.0007938453294907788    0.000778471015659464       
MWEBV         All|All|All                    All                   All      -0.023107388449671973     -1.540021669786995        -0.01333939181029642      -0.49470416221997837       
Redshift      All|All|All                    All                   All      3.2124325037217902        0.6604546549183965        2.9846363065117787        -0.6980725325118176        
