#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6222.698116605625     All      0.9952308396412554        0.012216600064718364      -0.9591740346650113       -0.3630036098780598        
Zeropoint     AB|SDSS|SDSS_r            5131.382467869356     All      0.8204625108567964        0.4075398235736216        0.9101277344089498        -0.09388768327985297       
Zeropoint     AB|SDSS|SDSS_g            3926.9750657685768    All      -0.9293122130377931       0.5704128928288199        -0.27364264423859197      0.47629839205404756        
Zeropoint     AB|SDSS|SDSS_z            7398.269344913235     All      0.11202905809470959       0.007675108945548459      0.3165572276314865        -0.019865019206399825      
Check         All|All|All               All                   All      0.9984101955549682        0.9978444254127083        -0.006131716863166936     -0.00045792031026503643    
Lambda        AB|SDSS|SDSS_i            6222.698116605625     All      0.00020053933900403796    3.327428314080085e-05     0.0016900653698709621     2.0936123716314246e-05     
Lambda        AB|SDSS|SDSS_r            5131.382467869356     All      0.00011151191855860755    0.00012634824757532122    0.00023129660412341316    1.5154385596619307e-05     
Lambda        AB|SDSS|SDSS_g            3926.9750657685768    All      -0.001190730371375848     0.0006714323378469172     -0.0015398263131671335    0.0005378522815370905      
Lambda        AB|SDSS|SDSS_z            7398.269344913235     All      -5.255275524677211e-05    -7.586404718735692e-06    -0.0002521914951456494    3.392871561264643e-06      
MWEBV         All|All|All               All                   All      -0.5383637309168932       -3.216460550160427        0.2772500922479715        -0.8599718425425285        
Redshift      All|All|All               All                   All      3.524228165724017         -0.7097321741335705       -15.06907432794724        -2.051603753350606         
