#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6222.698116605625     All      1.0843748795766137         0.03820070220914573        -0.101593700936869         -0.3453070079465209        
Zeropoint     AB|SDSS|SDSS_r            5131.382467869356     All      0.8554735727952003         0.3622191863053459         -0.048138043336516306      -0.16281736105112612       
Zeropoint     AB|SDSS|SDSS_g            3926.9750657685768    All      -1.0761315318032798        0.589075448238674          -0.1811670816640102        0.5343280422977148         
Zeropoint     AB|SDSS|SDSS_z            7398.269344913235     All      0.13435129568602744        0.009139905463051434       0.3298334502579959         -0.02606651711323471       
Check         All|All|All               All                   All      0.9980682162545617         0.998635242216217          -0.0010653756793996272     0.00013715618683307618     
Lambda        AB|SDSS|SDSS_i            6222.698116605625     All      -0.0002171086438618132     -1.27902288960387e-05      -2.7832414715780994e-05    6.53111967914373e-05       
Lambda        AB|SDSS|SDSS_r            5131.382467869356     All      0.00010666759916856908     4.72682268312021e-05       -7.110505762776731e-05     -2.2521421899795146e-05    
Lambda        AB|SDSS|SDSS_g            3926.9750657685768    All      -0.0011814849040513065     0.0004448020533846316      -0.0027854321490740565     0.00040543412150253826     
Lambda        AB|SDSS|SDSS_z            7398.269344913235     All      -2.6035132591269324e-05    -1.3669568977355207e-06    -4.9102718060700274e-05    5.844007595836438e-06      
MWEBV         All|All|All               All                   All      -0.5584522728986889        -3.2095859555527184        0.2259063288657171         -0.8534802982408555        
Redshift      All|All|All               All                   All      4.988829545392527          0.22283659314901172        -3.6385663141479174        -1.7148132043263125        
