#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4704.927719082125    All      -1.0993717268415248        0.9683085178208373         -0.25113790570285843      0.6623043490492087         
Zeropoint     AB|PS|PS_r                5974.938804902649    All      1.0192570099990363         0.5547713828200074         0.2800372887288627        -0.13880147186422637       
Zeropoint     AB|PS|PS_i                7236.944925272889    All      0.7496516561356794         -0.39759237248446766       -0.28988540848016164      -0.3866313777139835        
Zeropoint     AB|PS|PS_z                8317.015583094275    All      0.3279200628834976         -0.12638842743317724       0.25093046106099415       -0.13678534760629274       
Check         All|All|All               All                  All      0.9974570021766885         0.9990991007231997         -0.010055564393163241     8.61518647061188e-05       
Lambda        AB|PS|PS_g                4704.927719082125    All      -0.0003075179784552452     0.00016626298364127938     -0.0005969223817015042    0.00012768814195551092     
Lambda        AB|PS|PS_r                5974.938804902649    All      -0.00026001001463182095    1.7071931645514793e-06     -0.001101002234526295     3.6117231813117265e-05     
Lambda        AB|PS|PS_i                7236.944925272889    All      -0.0003448197891928618     7.335492595362288e-06      -0.0027475960725149144    -7.90403262095088e-06      
Lambda        AB|PS|PS_z                8317.015583094275    All      0.00031420170781279943     -0.00012679333059681703    0.00012159790270382207    -0.00013822023639713121    
MWEBV         All|All|All               All                  All      -0.6740898034986014        -4.026476211451957         -0.04325482339948561      -1.093912807413383         
Redshift      All|All|All               All                  All      7.883432369747857          -2.81497738639942          14.226053188299925        -2.8499806089088557        
