#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4959.37930210212      All      1.302274055033281         0.2912137110806512         0.4840433809487942        -0.3077349839617736        
Zeropoint     VEGAHST|ACSWF|F850LP           3880.4686858711502    All      -1.2925333288904892       0.5820359472293646         -0.32827492309095785      0.5959594826242322         
Zeropoint     VEGAHST|NICMOS2|F160W          6905.319125433043     All      0.9950387186953631        0.12700773466676196        -0.18324714666248026      -0.2909237274010948        
Check         All|All|All                    All                   All      1.0047794448381548        1.0002573929767777         -0.027478688804643936     -0.0026992287386362612     
Lambda        VEGAHST|NICMOS2|F110W_faint    4959.37930210212      All      0.0008425324386665455     0.00018307783151462348     0.0002029593899514986     -0.00020574891554676441    
Lambda        VEGAHST|ACSWF|F850LP           3880.4686858711502    All      -0.0016115226711601572    0.00046345707189440733     -0.0013187075184845295    0.0006170413071733498      
Lambda        VEGAHST|NICMOS2|F160W          6905.319125433043     All      -0.0003920073810530671    -4.9384698818373326e-05    5.668693841141988e-05     0.00011413315726288544     
MWEBV         All|All|All                    All                   All      -0.045972872549372656     -1.1620235938364587        0.019819532894766203      -0.36264998217605965       
Redshift      All|All|All                    All                   All      4.474806785740639         0.377461355034292          -1.0536460395507052       -1.381659588965731         
