#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4959.37930210212      All      1.2972541611505157         0.3518184620853404         -0.2868960059934311        -0.32076236217793985      
Zeropoint     VEGAHST|ACSWF|F850LP           3880.4686858711502    All      -1.3888780919686696        0.551356956007254          -0.012517485148966223      0.6314397890913731        
Zeropoint     VEGAHST|NICMOS2|F160W          6905.319125433043     All      1.0962142847858014         0.09647957087732806        0.31114627102968306        -0.31176145758221724      
Check         All|All|All                    All                   All      1.0045903539676475         0.9996549889699224         0.011732779887285716       -0.0010840306687839862    
Lambda        VEGAHST|NICMOS2|F110W_faint    4959.37930210212      All      0.0011283865776250284      0.0002642824378634836      8.282796774081292e-07      -0.0002814301841842801    
Lambda        VEGAHST|ACSWF|F850LP           3880.4686858711502    All      -0.00192171154136703       0.00036408771973488006     -0.0023171244312502307     0.0006411573987037878     
Lambda        VEGAHST|NICMOS2|F160W          6905.319125433043     All      -0.00038950107790653067    -3.4224164045837816e-05    -0.00022543835419508462    0.00010566510076090106    
MWEBV         All|All|All                    All                   All      -0.04071352385583227       -1.1586237912780462        0.0005157507924957727      -0.36411713666568146      
Redshift      All|All|All                    All                   All      4.29065248825114           0.17008319382796344        4.231677229872877          -1.1533646625181082       
