#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5287.464989248036    All      0.38476459307263955        0.4734204683540355         0.4462961239112767         0.04879428151701656        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7266.851367181516    All      0.6248869037114078         -0.33910835506274495       0.10474462656574193        -0.3093306986757805        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4542.837082056793    All      -0.6509124048794531        0.5464229743802562         -0.26014024714043515       0.37840265973989246        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5988.456846394835    All      1.214654572281249          0.08112811701188605        -0.2148030576635814        -0.378812532302695         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4219.223009386123    All      -0.5741304690881581        0.23394435690384796        -0.07417814346220089       0.25990632584289397        
Check         All|All|All                      All                  All      0.9992631950976854         0.9958075615872808         0.001919302210801166       -0.0010399638786725562     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5287.464989248036    All      -8.74697310267506e-05      0.0006039444571213528      -0.0012207120873599664     0.00017074157399993097     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7266.851367181516    All      0.0002521551377185035      -0.0003866818284556963     -0.00020277364224263446    -0.00021713907334248883    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4542.837082056793    All      -0.00040337778415110485    0.00042888493101371624     -0.0004277059092256273     0.00025200879661267433     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5988.456846394835    All      -0.00020716458297207347    -0.00011045469164590607    -0.0011394927300777723     -1.9348733776706e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4219.223009386123    All      -0.00046605539981613847    0.00021434391030501732     -0.00012745808686249362    0.00021594057075602417     
MWEBV         All|All|All                      All                  All      -0.7860670192719539        -3.973969451723214         0.028605750515776684       -1.03712815786013          
Redshift      All|All|All                      All                  All      8.609604460023085          -2.0566101265461434        18.013642894193577         -2.6704708501839445        
