#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7067.36640533186      All      0.595811148001824          0.053414787577032996      1.8696289717220205         -0.09324338478790689      
Zeropoint     AB|PS|PS_i                6149.578647667028     All      0.9288669725436565         -0.44517536250356926      -6.295721185797492         -0.7285199144955969       
Zeropoint     AB|PS|PS_g                3998.0023806790487    All      -0.8361811901364178        0.334416656062686         -2.502125208519906         0.2696438738214582        
Zeropoint     AB|PS|PS_r                5077.191615405443     All      0.3200963913795005         1.0610315962493289        7.079248255447373          0.557261308099713         
Check         All|All|All               All                   All      1.0085933217885632         1.0036876773854786        0.1510308328519958         0.00514188263766735       
Lambda        AB|PS|PS_z                7067.36640533186      All      -0.00041463707993191225    -4.950775874736368e-05    -0.0016120222515026478     4.699748297351328e-05     
Lambda        AB|PS|PS_i                6149.578647667028     All      -0.00027820188095233045    0.00010431936534753612    0.0010230001355143628      0.0001702515520733988     
Lambda        AB|PS|PS_g                3998.0023806790487    All      -0.0007105324771703844     0.000284625039242426      -0.0021393934984405946     0.0002286842368490062     
Lambda        AB|PS|PS_r                5077.191615405443     All      -2.9544602984106684e-05    -7.026817972553259e-05    -0.00045422747095616797    -3.353509454801985e-05    
MWEBV         All|All|All               All                   All      -0.5031364009623966        -3.1417102569767152       0.30650195186647244        -0.8457925370060626       
Redshift      All|All|All               All                   All      7.865870446745429          -1.0388166571845048       -4.620118990426708         -3.106724236357783        
