#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                7067.36640533186      All      0.6440634841173665         0.06397583841124543        2.1359878699742714         -0.09363430212366317       
Zeropoint     AB|PS|PS_i                6149.578647667028     All      0.9070713753825856         -0.44356020223013104       -6.438831834747151         -0.7272806315873214        
Zeropoint     AB|PS|PS_g                3998.0023806790487    All      -0.838515114229784         0.3481579784439859         -2.5075170526936224        0.27463949721652886        
Zeropoint     AB|PS|PS_r                5077.191615405443     All      0.2931020157363984         1.0284141988240236         6.905249991737419          0.5476649615490722         
Check         All|All|All               All                   All      1.0057217610065672         0.9969878134491239         0.09488897427091736        0.001389525054616425       
Lambda        AB|PS|PS_z                7067.36640533186      All      -0.00042870623357078505    -4.307984573843912e-05     -0.0016488562414701286     5.203032011431214e-05      
Lambda        AB|PS|PS_i                6149.578647667028     All      -0.0002894391050776105     0.0001077454981919521      0.001048950168755147       0.00017618592064788855     
Lambda        AB|PS|PS_g                3998.0023806790487    All      -0.0007482432229132931     0.0003109471145077299      -0.00223906872631224       0.000245093785640471       
Lambda        AB|PS|PS_r                5077.191615405443     All      -9.630202967953562e-06     -3.4290021909031466e-05    -0.00022737679999508493    -1.8179296592965648e-05    
MWEBV         All|All|All               All                   All      -0.49788161344765625       -3.1421593838397044        0.3304342305997125         -0.8465825018892141        
Redshift      All|All|All               All                   All      7.732514443065678          -1.391512639328063         -6.191760848087514         -3.248305641231834         
