#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7783.235231135833    All      0.4087677303935268         -0.11275169920965666      0.12340843482291662       -0.164368884049656        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5305.607051864078    All      0.44082903210698066        0.5322524848052623        -0.36601993455664183      0.013445837675577126      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6294.633232487801    All      1.2534053757907984         -0.13272483921831224      0.2390469448089652        -0.44084064611409857      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4304.500930982597    All      -1.105100487372891         0.7103187774821329        0.003487870009849977      0.5914974277024018        
Check         All|All|All                       All                  All      0.9979016509184148         0.9970947238594263        -7.668491491001151e-05    -0.0002662647857756273    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7783.235231135833    All      -5.743234964857598e-05     1.878474049023555e-05     0.00013714992110599412    3.0946784798153986e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5305.607051864078    All      -1.1341323105716456e-05    0.00012462668831054715    -0.0015764114001711258    -2.60587460609709e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6294.633232487801    All      -0.00040498007747373716    4.983600486399204e-05     -0.0005329291409749532    0.00012436638111536176    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4304.500930982597    All      -0.000529620854084464      0.00018409695970341095    -0.0009537390686564902    0.00018992037830030482    
MWEBV         All|All|All                       All                  All      -0.8235875252664577        -4.011669524411232        0.02749439039292986       -1.0372362435377664       
Redshift      All|All|All                       All                  All      4.836701704084854          -0.9783932521172822       7.098002891788068         -1.5774164690642252       
