#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7783.235231135833    All      0.45674071699270125       -0.12179343386602426      0.12770532117829525       -0.1827487041880453        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5305.607051864078    All      0.41369874438549104       0.5417958823959346        -0.5588175684540925       0.016787990596818514       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6294.633232487801    All      1.2536286859865124        -0.13722868299392843      0.23722008353071478       -0.442461960109685         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4304.500930982597    All      -1.1261228413801256       0.7127435897154477        0.1910468859961878        0.6075048385918734         
Check         All|All|All                       All                  All      0.997945305984579         0.9955173552514296        -0.002845277748894648     -0.0009178351090384229     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7783.235231135833    All      -4.188272639083362e-05    1.6937247498737786e-05    0.00020031362056512414    2.8098677494134667e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5305.607051864078    All      1.6422604256353978e-05    0.00016547265700667086    -0.001647723358379917     -2.4979819982974508e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6294.633232487801    All      -0.0003869866769115971    4.829695929342362e-05     -0.000564064083957796     0.00011661461130384453     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4304.500930982597    All      -0.0006136551060144001    0.0002186045838830083     -0.0009385210230853736    0.00022921247874094862     
MWEBV         All|All|All                       All                  All      -0.8274813771223295       -4.013807559575433        0.03906058307278637       -1.0361481702189355        
Redshift      All|All|All                       All                  All      4.896695797839925         -1.241361376649941        7.085017278012058         -1.6831953770039785        
