#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5229.053296380704    All      0.7834981976310162        0.08988392771467346        -0.23638235421010048      -0.23648164574694677      
Zeropoint     AB|MEGACAMPSF|i           4531.077903940517    All      2.466515360351197         0.7123122642523683         0.6576330375014307        -0.5420545179026492       
Zeropoint     AB|MEGACAMPSF|r           3706.658796295241    All      -2.246463676683591        0.19742216720661787        -0.4217462206607108       0.7772334239933848        
Check         All|All|All               All                  All      1.0035498812986228        0.9996183591736596         -0.0004955373693806275    -0.0013027396562111937    
Lambda        AB|MEGACAMPSF|z           5229.053296380704    All      0.00024048119131855284    2.468553449797278e-05      -7.860269078970752e-05    -7.379942197354072e-05    
Lambda        AB|MEGACAMPSF|i           4531.077903940517    All      -0.0005324414693211785    -0.00024509870630827626    -0.002243294509973065     -6.510939691663713e-06    
Lambda        AB|MEGACAMPSF|r           3706.658796295241    All      -0.003834091952741142     0.0001892008328965187      -0.0023262366333003143    0.0012067095657574977     
MWEBV         All|All|All               All                  All      -0.1679053008320388       -1.950284127559243         0.003733005209724244      -0.5804128355092742       
Redshift      All|All|All               All                  All      11.744576857127825        1.2883093063136286         4.5171638121937985        -3.204370067929527        
