#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5229.053296380704    All      0.7260203097871016        0.08864929878864558       -0.25556445436162173      -0.2190173749986965       
Zeropoint     AB|MEGACAMPSF|i           4531.077903940517    All      2.431218809921846         0.7247632663155201        0.6078869456728239        -0.5287215088107977       
Zeropoint     AB|MEGACAMPSF|r           3706.658796295241    All      -2.1528348204545202       0.1861755732795345        -0.35195626490939663      0.7461864447692076        
Check         All|All|All               All                  All      1.0044042992544278        0.9995881383837002        0.0003662264018055028     -0.0015524390402866795    
Lambda        AB|MEGACAMPSF|z           5229.053296380704    All      0.0002688346981143077     2.7921658322033357e-05    -3.754885222571665e-05    -8.014893568312624e-05    
Lambda        AB|MEGACAMPSF|i           4531.077903940517    All      -0.0007530954761282791    -0.0003077418518909329    -0.002491594035747218     3.387792877523692e-05     
Lambda        AB|MEGACAMPSF|r           3706.658796295241    All      -0.0033436700929332696    0.00018543915298045344    -0.0018063610516780447    0.001068937388219489      
MWEBV         All|All|All               All                  All      -0.17360043299440364      -1.950553458240556        -0.008641727285435552     -0.5791977009394974       
Redshift      All|All|All               All                  All      11.115499089769026        1.4828737877914833        4.561598108622566         -2.9340997918880296       
