#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6046.982681464845     All      1.1474802889791702         0.05130498336924916        -0.39404216672595177      -0.37464465226429206       
Zeropoint     AB|SDSS|SDSS_g            3816.0858470505523    All      -1.1277815542229812        0.47315817774702396        -0.5238343337009378       0.4981024196263768         
Zeropoint     AB|SDSS|SDSS_z            7189.358339932771     All      0.10137221735867744        0.00232325384601495        0.06804236892109562       -0.029227087612531722      
Zeropoint     AB|SDSS|SDSS_r            4986.483408599665     All      0.8765583670941259         0.4719373778829805         0.8507289280243601        -0.09383424302013292       
Check         All|All|All               All                   All      0.9976293192089924         0.9987237928452686         0.0008947965185660545     0.00039643672942010766     
Lambda        AB|SDSS|SDSS_i            6046.982681464845     All      -0.0002333915832941837     -1.5589588108755237e-05    -7.413078374327564e-05    6.763715889661229e-05      
Lambda        AB|SDSS|SDSS_g            3816.0858470505523    All      -0.0016240208763751399     0.0004971411481003996      -0.0023796749518158493    0.0005847382918816834      
Lambda        AB|SDSS|SDSS_z            7189.358339932771     All      -3.647635928291131e-05     -5.175731431936295e-07     -2.157611864127121e-05    1.0750116575199845e-05     
Lambda        AB|SDSS|SDSS_r            4986.483408599665     All      -0.00013465245176539248    -8.17957030164399e-05      -0.0009750000908243739    -2.6292594037129208e-05    
MWEBV         All|All|All               All                   All      -0.5487102583966368        -3.0743210511245067        0.13186652388825676       -0.8167899279984295        
Redshift      All|All|All               All                   All      5.052975566298594          0.669310566436998          4.278758075020427         -1.2369625874865788        
