#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6627.97888716157     All      0.09881407700131153        0.018674731087742202       0.18953345773826125        -0.017646013747044803     
Zeropoint     AB|SDSS|SDSS_i            5574.805378828209    All      0.4592866526678472         0.13153753153432035        -3.8167966662222885        -0.27708477667947246      
Zeropoint     AB|SDSS|SDSS_g            3518.107629349806    All      -1.1457840061145954        0.22399829185637543        -1.684335348455196         0.3710190082190909        
Zeropoint     AB|SDSS|SDSS_r            4597.114956672072    All      1.5900990902995586         0.6252192674391921         5.353723530267268          -0.07538100951587981      
Check         All|All|All               All                  All      1.0024158138541224         0.9994298219176301         0.04212497332804421        0.0009072082766937994     
Lambda        AB|SDSS|SDSS_z            6627.97888716157     All      -4.6522214775480616e-05    -8.098243841099818e-06     -0.00011177802479904454    7.52781157554127e-06      
Lambda        AB|SDSS|SDSS_i            5574.805378828209    All      7.3393514502357134e-06     -8.367674547809062e-06     -0.0004382160805237775     -2.467186613348609e-05    
Lambda        AB|SDSS|SDSS_g            3518.107629349806    All      -0.0015127721612412674     0.0003058665291878655      -0.0028004998881719363     0.00046741700513015555    
Lambda        AB|SDSS|SDSS_r            4597.114956672072    All      -0.0004975011293094875     -0.00018290521612017612    -0.0010712603658153464     5.466880881843941e-05     
MWEBV         All|All|All               All                  All      -0.7138878917419031        -2.7109251815108593        -0.2964717533648409        -0.6637309185602409       
Redshift      All|All|All               All                  All      8.423864903241551          1.0919508801725542         8.65502539936513           -2.0020115776403826       
