#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_r
@MAGSYS  Linear_AB11_off
57209.78843  15.39  0.037
57209.78962  15.403  0.039
57211.80821  15.232  0.024
57217.41266  15.057  0.04
57218.12495  14.99  0.037
57219.14299  14.968  0.036
57219.14426  14.97  0.036
57221.41378  15.008  0.036
57221.415  15.0  0.036
57222.43412  15.017  0.023
57223.77398  15.046  0.036
57223.77516  15.055  0.035
57237.79598  15.734  0.038
57237.79718  15.743  0.036
57266.2508  16.915  0.045
57272.00312  16.909  0.043
57272.0264  17.17  0.046
57272.02764  17.076  0.042
57277.76392  16.885  0.037
57277.76509  17.323  0.039
57277.78089  17.26  0.039
57277.78206  17.242  0.039
57278.37811  17.272  0.04
57291.21645  17.729  0.052
57291.21797  17.671  0.048
57312.29442  18.403  0.042
57312.29688  18.411  0.042
