#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5428.40203006056     All      0.36570922589961485        0.057848999055654104       -0.1139869865449672        -0.1053669198699092        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6160.232878624133    All      0.9791779889248643         -0.11002668612061228       0.20684283077796461        -0.345559350888891         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4339.067743845542    All      -0.2621605123317563        0.2607820489282986         0.8953103627936665         0.21029318598136393        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5439.133403950087    All      0.6569964176388123         0.07544399376389066        -0.446722222149476         -0.20936591801609117       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7475.297537317312    All      0.44602101636584024        -0.06439962300754942       0.35197300305125356        -0.1505538560115205        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4673.146199920709    All      -0.7413389232598314        0.6218401142679575         0.048132978809678484       0.4461802135585391         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4340.249411718675    All      -0.4462108749657662        0.15572180072371822        -0.9337860801167608        0.1543986914376183         
Check         All|All|All                           All                  All      0.9981943382717775         0.9972106476113574         0.007763886621359184       2.604619110946338e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5428.40203006056     All      7.457244609401618e-05      2.7314919922859415e-05     -8.873007071659325e-05     -1.9352946533983727e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6160.232878624133    All      -7.425496051751894e-05     -2.4150928740173233e-06    -0.00010645604472741303    1.864996401167623e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4339.067743845542    All      -7.901201948760814e-05     8.022094641628317e-05      0.0002855530058815887      6.461033475884982e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5439.133403950087    All      0.0003183971628455608      3.3013628685120785e-05     0.00012814127119965035     -8.72404495133837e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7475.297537317312    All      -9.988761572559229e-05     9.069539848461856e-06      -0.0001532658272403683     2.865138020916081e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4673.146199920709    All      -0.00040193119190156724    9.487620629488178e-05      -0.001700977888293941      8.591968322481403e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4340.249411718675    All      -0.00025302021077091804    5.765816426845827e-05      -0.0008743866899995882     6.217830570339829e-05      
MWEBV         All|All|All                           All                  All      -0.8833527193490345        -4.062129044752716         0.042478725925376715       -1.0335363973784706        
Redshift      All|All|All                           All                  All      3.020621241718172          -0.9172741549787311        4.6181407014420195         -1.0766156744623279        
