#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5428.40203006056     All      0.4150057283733021         0.07286794722123346        0.08701444915522948       -0.10756247609700398       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6160.232878624133    All      0.9405054690210736         -0.09967942959345777       0.08248428658595942       -0.33514154767174426       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4339.067743845542    All      -0.3513288105020669        0.26732343830033756        0.5686763611355837        0.22689280465080763        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5439.133403950087    All      0.7270118950482111         0.09022784315400045        -0.20725013426360722      -0.21667013690173445       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7475.297537317312    All      0.39231388321858895        -0.061008765051706604      0.16049277944884377       -0.1405000447836495        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4673.146199920709    All      -0.7231981154853987        0.6016911894265675         0.24474922886151082       0.44248206816481866        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4340.249411718675    All      -0.4020181896526782        0.12545197056423874        -0.9340621618548068       0.13013148014423728        
Check         All|All|All                           All                  All      0.9982918600210319         0.9968741940212134         0.0021048090687131316     -0.00036785249426865563    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5428.40203006056     All      2.7960928234091858e-05     -1.4635207420971417e-06    -0.0001328292433564526    -1.551207013551238e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6160.232878624133    All      -0.00017959699923404812    1.4462117965677169e-05     -7.271145916834575e-05    5.996666035624167e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4339.067743845542    All      3.3576828893849724e-06     -2.3286681425185113e-06    -4.781642643121191e-06    -2.065614356355403e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5439.133403950087    All      6.398207843640879e-05      5.520895182838996e-06      -9.434362994876607e-05    -2.3252853601482325e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7475.297537317312    All      -9.619207537335448e-05     1.221900970640154e-05      -7.544760155969852e-05    3.194617708992747e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4673.146199920709    All      -0.00010325185044225368    -0.00013616666616305333    -0.0018006153631906887    -9.107463207749969e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4340.249411718675    All      -0.00017341197763315723    2.281870436455908e-05      -0.0007045054114269353    3.247994808867302e-05      
MWEBV         All|All|All                           All                  All      -0.8872670609445854        -4.0583825122451955        0.03536996267848475       -1.0313582301021689        
Redshift      All|All|All                           All                  All      3.5092176660748233         0.6678002330040123         4.977225322413265         -0.7034324312378482        
