#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_i
@MAGSYS  Linear_AB11_off
53994.09  17.671  0.011
53998.06  18.049  0.013
54001.05  18.27  0.016
54003.07  18.294  0.014
54007.08  18.209  0.014
54008.05  18.184  0.014
54014.06  18.1  0.022
54018.06  18.3  0.017
54025.05  18.884  0.026
54038.03  19.474  0.039
54023.0  18.696  0.015
54024.0  18.85  0.027
