#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin 4382.811879644169 All -1.044998368119778 0.33126324805115726 -0.7042652277326904 0.41686556350865045
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin 8319.067195347969 All 0.18462595805839527 -0.07080958969935836 0.026589474459723483 -0.08201719536051189
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin 5409.7159180806875 All 0.48751362456581315 0.5680671839882176 -0.06243740934198527 0.02345264962298127
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin 6354.845676586089 All 0.6603957465954636 -0.6814976694955703 -1.1113516514650263 -0.48669335255431356
Check All|All|All All All 0.28753696109989385 0.14702317284444621 -1.8514648140799785 -0.12839233478319373
