#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4382.811879644169     All      -1.482243473255313         0.43043751203009073       -0.216467949718284         0.6133631518482081        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8319.067195347969     All      0.23284246271572162        -0.19244254338364186      0.08585285495189457        -0.13469809933907295      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5409.7159180806875    All      1.3111715988126884         1.4669635956102045        -0.06747662005771721       0.04773540711713646       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6354.845676586089     All      0.9029729240072405         -0.7001594850923443       0.012905280159251253       -0.5216170637517158       
Check         All|All|All                                   All                   All      0.9647435122803376         1.004799079164309         -0.1851864346648554        0.004783395874555785      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4382.811879644169     All      -0.00041878547537656046    0.0004908057653189532     -0.0008944845259611041     0.0002563670555826848     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8319.067195347969     All      -3.247045147398838e-05     1.5044873104279383e-05    -5.8709827825782035e-05    1.2857354451509976e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5409.7159180806875    All      1.97261147425559e-05       0.00020055730770495803    -0.0015017439769820888     -8.113267714704902e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6354.845676586089     All      -0.00035976317097872996    0.0001713123601162387     -0.0008132547550205788     0.00013669694777105842    
MWEBV         All|All|All                                   All                   All      -0.9039451855997327        -4.146835484810474        0.006732158204393341       -1.0560156330738566       
Redshift      All|All|All                                   All                   All      3.1877182636149515         -4.5538411543378565       -1.0451905674428827        -2.568322646805369        
