#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4952.733140858042     All      0.277734480658401          0.5752130248545484        1.407913684221932         0.15972727001125475       
Zeropoint     AB|DECam|DECam_i          6016.952157891914     All      0.9940780020112299         0.04683679033625765       -1.4206171395214355       -0.37194324423107783      
Zeropoint     AB|DECam|DECam_z          7050.98298932255      All      0.5028837432018158         -0.016301417095831994     0.6050329432626863        -0.14211584595135499      
Zeropoint     AB|DECam|DECam_g          3726.4532022708568    All      -0.7797070401339138        0.3933876196526853        -0.5896294336538241       0.3558030708065229        
Check         All|All|All               All                   All      0.9949891857375327         0.9991360177476594        0.0027000543093586016     0.0014712506353448673     
Lambda        AB|DECam|DECam_r          4952.733140858042     All      -0.00019889481925003215    -9.445289768232157e-05    -0.0016391887866705785    -3.912929713555657e-05    
Lambda        AB|DECam|DECam_i          6016.952157891914     All      -0.00015114634043039346    -5.17662058164063e-06     6.465584770120731e-05     5.043243354521767e-05     
Lambda        AB|DECam|DECam_z          7050.98298932255      All      -0.0003964242501911635     1.3888519797340314e-05    -0.0005661030553347279    0.00010838978873213228    
Lambda        AB|DECam|DECam_g          3726.4532022708568    All      -0.0013456628433166304     0.0005747879069775903     -0.001939871802238751     0.0005389864212988638     
MWEBV         All|All|All               All                   All      -0.47588150375977634       -2.872490129272798        0.09243748806451632       -0.7765292148691149       
Redshift      All|All|All               All                   All      6.230759958729084          -0.6844819349190345       0.09065397832234538       -2.248476318768064        
