#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          4952.733140858042     All      0.28318205472792535        0.6058314874975324        1.57409176070612           0.1753420208424578        
Zeropoint     AB|DECam|DECam_i          6016.952157891914     All      1.034567662280991          0.06106471743088093       -1.080658282657354         -0.3653267523042892       
Zeropoint     AB|DECam|DECam_z          7050.98298932255      All      0.4746049185159893         -0.014590797330527039     0.6284695342365226         -0.13130142985541132      
Zeropoint     AB|DECam|DECam_g          3726.4532022708568    All      -0.7976001124668108        0.34627645464411216       -1.125442757264633         0.32237488904419165       
Check         All|All|All               All                   All      0.9947545230580949         0.9985818622419984        -0.0035397449793446167     0.001088727726948957      
Lambda        AB|DECam|DECam_r          4952.733140858042     All      -0.0002521922500359198     -0.0001063235576574692    -0.0018677410212994206     -3.583447151126061e-05    
Lambda        AB|DECam|DECam_i          6016.952157891914     All      -0.0001812331433345654     -6.775539686773625e-06    -0.00010003357537481312    5.2362541961381885e-05    
Lambda        AB|DECam|DECam_z          7050.98298932255      All      -0.00042933511471944866    9.801028841068891e-06     -0.0006937788335233429     0.00011208092617844286    
Lambda        AB|DECam|DECam_g          3726.4532022708568    All      -0.0012237129456338799     0.0005501813855262823     -0.001595197555711474      0.0005066294026148828     
MWEBV         All|All|All               All                   All      -0.4778633978458444        -2.871627011186284        0.08978664552976023        -0.7757207957338315       
Redshift      All|All|All               All                   All      6.443388915282889          -0.5942816190534828       0.8024460579732023         -2.2565913434508285       
